City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
478,Palu,ID,79.05,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
480,Qui Nhon,VN,83.19,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
483,Angoche,MZ,76.1,overcast clouds,-16.2325,39.9086,Guest House HESADA
484,Isangel,VU,86.0,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
486,Mier,MX,82.4,clear sky,26.4333,-99.15,Mier 09
488,Marsh Harbour,BS,75.18,clear sky,26.5412,-77.0636,Abaco Beach Resort
490,Ciudad Bolivar,VE,79.39,overcast clouds,8.1222,-63.5497,Hotel Edi
491,Tuy Hoa,VN,82.85,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
493,Susangerd,IR,77.0,broken clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
494,Iquitos,PE,78.8,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
496,Dickinson,US,73.0,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
504,Urucara,BR,73.71,overcast clouds,-2.5364,-57.76,Hotel japa
506,Nata,PA,79.5,overcast clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
507,Pochutla,MX,79.0,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
508,Cananea,MX,70.0,scattered clouds,30.95,-110.3,Casas Montoya
514,Celestun,MX,80.04,clear sky,20.8667,-90.4,Posada Lilia
518,Donghai,CN,77.0,clear sky,22.9459,115.64200000000001,Huacheng Restaurant
529,Buluang,PH,89.06,few clouds,13.3068,123.3425,Enon Beach Resort
535,Acajutla,SV,72.0,few clouds,13.5928,-89.8275,asi es
540,Sibu,MY,78.8,light rain,2.3,111.8167,RH HOTEL (4 Star)
541,Puerto Escondido,MX,80.37,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
543,Carutapera,BR,75.54,overcast clouds,-1.195,-46.02,Lidera
545,Santa Cruz,BO,75.2,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
547,Mopti,ML,80.6,clear sky,14.6667,-4.0,
549,Puerto Leguizamo,CO,72.72,moderate rain,-0.1934,-74.7819,la casona de juancho
550,Bosaso,SO,77.25,clear sky,11.2842,49.1816,Red Sea Hotel
551,Porto Novo,BJ,80.24,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
555,Uruguaiana,BR,78.8,light rain,-29.7547,-57.0883,Fares Turis Hotel
558,Chenghai,CN,75.2,clear sky,23.4632,116.76799999999999,Guangdong Hotel
559,Inirida,CO,71.89,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
561,Bambanglipuro,ID,86.38,broken clouds,-7.95,110.2833,Puri Brata
562,Nabire,ID,86.77,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
565,Porbandar,IN,77.0,haze,21.6422,69.6093,Lords Inn Porbandar
569,Ternate,ID,83.88,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
571,Kirakira,SB,84.02,broken clouds,-10.4544,161.9205,SanBiz Lodge
572,Benguela,AO,79.29,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
583,Naze,JP,73.4,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
584,Santa Marta,CO,82.99,few clouds,11.2408,-74.199,Casa de Isabella
587,Ilhabela,BR,71.67,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
588,Eirunepe,BR,70.66,overcast clouds,-6.6603,-69.8736,Atrás de você
590,Ngunguru,NZ,77.0,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
592,Wilmington,US,71.6,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
597,Sao Raimundo Das Mangabeiras,BR,77.38,broken clouds,-7.0219,-45.4811,Hotel Tropical
600,Cuervos,MX,82.4,clear sky,32.6314,-114.8556,Hotel Del Valle
603,Independencia,BR,71.04,moderate rain,-5.3964,-40.3086,Pousada Santa Cruz
605,Namatanai,PG,82.17,light rain,-3.6667,152.4333,Namatanai Hotel
612,Lake Havasu City,US,84.2,clear sky,34.4839,-114.3224,Heat Hotel
613,Kendari,ID,89.37,overcast clouds,-3.945,122.4989,Hotel Wixel
