City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Jamestown,US,2021-04-05 02:15:38,42.097,-79.2353,44.6,53,1,3.44
68,Cafelandia,BR,2021-04-05 02:18:00,-21.8025,-49.61,68.67,71,99,13.38
69,Klaksvik,FO,2021-04-05 02:18:00,62.2266,-6.589,26.6,63,75,44.87
70,Ancud,CL,2021-04-05 02:18:01,-41.8697,-73.8203,55.99,90,100,11.99
71,Hithadhoo,MV,2021-04-05 02:18:01,-0.6,73.0833,83.08,75,40,16.08
72,Kuito,AO,2021-04-05 02:18:02,-12.3833,16.9333,59.76,80,96,3.87
73,Mar Del Plata,AR,2021-04-05 02:15:24,-38.0023,-57.5575,68.0,94,75,5.75
74,Bambanglipuro,ID,2021-04-05 02:18:02,-7.95,110.2833,78.53,84,100,3.0
75,Murmashi,RU,2021-04-05 02:18:03,68.8154,32.8115,32.0,93,40,6.71
76,Saint-Pierre,RE,2021-04-05 02:18:03,-21.3393,55.4781,77.0,69,0,6.91
77,Ust-Kulom,RU,2021-04-05 02:18:03,61.6864,53.6902,13.15,98,90,1.81
78,Lagoa,PT,2021-04-05 02:13:48,39.05,-27.9833,59.81,84,40,15.37
79,Biak,ID,2021-04-05 02:18:04,-0.9131,122.8766,85.91,62,100,1.39
80,Hermanus,ZA,2021-04-05 02:18:04,-34.4187,19.2345,63.0,92,100,1.01
81,Gushikawa,JP,2021-04-05 02:18:05,26.3544,127.8686,71.6,60,75,19.57
82,Kiama,AU,2021-04-05 02:18:05,-34.6833,150.8667,75.2,73,40,10.36
83,Massakory,TD,2021-04-05 02:18:05,12.996,15.7293,81.16,12,0,13.58
84,Kruisfontein,ZA,2021-04-05 02:14:40,-34.0033,24.7314,64.99,82,100,1.01
85,Georgetown,MY,2021-04-05 02:18:06,5.4112,100.3354,87.8,74,20,5.75
86,Monte Plata,DO,2021-04-05 02:15:06,18.807,-69.784,73.4,94,75,4.61
87,Talcahuano,CL,2021-04-05 02:14:25,-36.7167,-73.1167,57.2,88,90,6.91
88,Tiksi,RU,2021-04-05 02:18:07,71.6872,128.8694,-6.29,96,83,2.93
89,Birjand,IR,2021-04-05 02:18:07,32.8663,59.2211,35.6,38,0,6.91
90,Lyuban,BY,2021-04-05 02:18:07,52.7985,28.0048,31.51,79,28,8.01
91,Hobart,AU,2021-04-05 02:18:08,-42.8794,147.3294,68.0,52,40,9.22
92,Castro,BR,2021-04-05 02:18:08,-24.7911,-50.0119,56.7,98,64,8.12
