City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
88,Vagur,FO,61.4732,-6.8119,33.82,65,92,overcast clouds
89,Necochea,AR,-38.5473,-58.7368,57.0,96,100,moderate rain
90,Teguldet,RU,57.3064,88.1667,37.04,73,100,overcast clouds
91,Goderich,CA,43.7501,-81.7165,66.2,52,100,overcast clouds
92,Avarua,CK,-21.2078,-159.775,82.4,78,40,scattered clouds
93,Esparta,HN,15.7437,-87.1766,78.8,94,75,broken clouds
94,Sikeston,US,36.8767,-89.5879,55.4,71,90,overcast clouds
95,Mataura,NZ,-46.1927,168.8643,57.99,87,100,overcast clouds
96,Sao Domingos Do Prata,BR,-19.865,-42.9683,59.61,91,0,clear sky
97,Mangrol,IN,21.1167,70.1167,81.46,57,0,clear sky
98,Kavaratti,IN,10.5669,72.642,83.21,65,95,overcast clouds
99,Fortuna,US,40.5982,-124.1573,48.0,76,1,clear sky
100,Belawan,ID,3.7755,98.6832,80.6,89,75,haze
101,Busselton,AU,-33.65,115.3333,59.0,94,100,moderate rain
102,Kapaa,US,22.0752,-159.319,75.2,64,75,broken clouds
103,Kahului,US,20.8947,-156.47,75.2,60,40,scattered clouds
104,Dikson,RU,73.5069,80.5464,27.68,95,100,snow
105,Laguna,US,38.421,-121.4238,68.0,42,1,clear sky
106,Voskresenskoye,RU,56.8381,45.4317,32.13,97,100,overcast clouds
107,Nanakuli,US,21.3906,-158.1547,78.8,41,90,overcast clouds
108,Castro,BR,-24.7911,-50.0119,59.05,70,6,clear sky
109,Port Alfred,ZA,-33.5906,26.891,69.08,86,100,overcast clouds
110,Tuatapere,NZ,-46.1333,167.6833,57.99,87,100,overcast clouds
111,Clyde River,CA,70.4692,-68.5914,23.0,80,90,overcast clouds
112,Portland,US,45.5234,-122.6762,46.99,49,20,few clouds
113,Farafangana,MG,-22.8167,47.8333,72.75,90,10,clear sky
114,East London,ZA,-33.0153,27.9116,68.9,89,100,overcast clouds
115,Ayan,RU,56.45,138.1667,28.47,90,95,overcast clouds
116,Kenai,US,60.5544,-151.2583,26.6,49,1,clear sky
117,Puerto Ayora,EC,-0.7393,-90.3518,75.99,94,76,broken clouds
118,Mana,GF,5.6592,-53.7767,76.51,90,100,moderate rain
119,Mar Del Plata,AR,-38.0023,-57.5575,64.4,72,90,moderate rain
120,Kodiak,US,57.79,-152.4072,33.8,69,90,overcast clouds
121,Faanui,PF,-16.4833,-151.75,82.6,70,41,scattered clouds
122,Souillac,MU,-20.5167,57.5167,77.0,83,40,scattered clouds
123,Cherskiy,RU,68.75,161.3,-2.02,81,85,overcast clouds
124,Tasiilaq,GL,65.6145,-37.6368,24.8,68,32,scattered clouds
125,Yellandu,IN,17.6,80.3333,83.66,61,3,clear sky
126,Georgetown,MY,5.4112,100.3354,87.8,83,20,few clouds
127,Mgandu,TZ,-5.95,34.1333,59.79,96,98,overcast clouds
128,Pasni,PK,25.2631,63.471,78.06,51,3,clear sky
129,Finschhafen,PG,-6.6024,147.8681,83.01,75,90,overcast clouds
130,Ler,SS,8.3018,30.1418,82.53,39,100,overcast clouds
131,Vestmannaeyjar,IS,63.4427,-20.2734,38.3,92,100,overcast clouds
132,Mount Gambier,AU,-37.8333,140.7667,57.2,58,90,overcast clouds
133,Leningradskiy,RU,69.3833,178.4167,-2.76,92,99,overcast clouds
134,Vinukonda,IN,16.05,79.75,84.9,60,4,clear sky
135,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,44.6,42,6,clear sky
136,Ampanihy,MG,-24.7,44.75,68.38,97,63,broken clouds
137,Mlimba,TZ,-8.8,35.8167,69.73,97,100,light rain
138,Hermanus,ZA,-34.4187,19.2345,57.0,95,100,overcast clouds
139,Peniche,PT,39.3558,-9.3811,59.0,91,3,clear sky
140,Olafsvik,IS,64.8945,-23.7142,39.27,96,100,light rain
141,Vanimo,PG,-2.6741,141.3028,86.68,65,95,overcast clouds
142,Mariana,BR,-20.3778,-43.4161,59.05,89,0,clear sky
143,Ambunti,PG,-4.2365,142.8448,91.18,53,43,moderate rain
144,Kruisfontein,ZA,-34.0033,24.7314,59.14,76,82,broken clouds
145,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.62,73,0,clear sky
146,Airai,TL,-8.9266,125.4092,74.23,51,86,overcast clouds
147,Korla,CN,41.7597,86.1469,59.2,38,3,clear sky
148,Zhigansk,RU,66.7697,123.3711,9.61,78,1,clear sky
149,Santa Cruz Del Norte,CU,23.1539,-81.9236,77.0,83,20,few clouds
150,Taksimo,RU,56.3444,114.8794,18.95,47,96,overcast clouds
151,Eyl,SO,7.9803,49.8164,78.46,71,1,clear sky
152,Makueni,KE,-1.8041,37.6203,61.77,97,86,light rain
153,Severnoye,RU,56.3491,78.3619,32.09,97,100,overcast clouds
154,Tiarei,PF,-17.5333,-149.3333,84.2,65,40,scattered clouds
155,Langenburg,DE,49.2544,9.8458,48.2,71,75,broken clouds
156,Khatanga,RU,71.9667,102.5,21.61,94,100,light snow
157,Avera,US,33.194,-82.5271,62.6,96,1,clear sky
158,Lata,PT,40.1629,-8.3327,57.0,97,83,broken clouds
159,Kattivakkam,IN,13.2167,80.3167,84.2,70,40,haze
160,Malatya,TR,38.5,38.0,37.4,75,40,scattered clouds
161,Lavrentiya,RU,65.5833,-171.0,1.9,78,100,overcast clouds
162,Hithadhoo,MV,-0.6,73.0833,83.34,69,92,overcast clouds
163,Mucurapo,TT,10.6667,-61.5333,78.01,88,20,few clouds
164,Fairbanks,US,64.8378,-147.7164,18.0,27,40,scattered clouds
165,Bengkulu,ID,-3.8004,102.2655,83.5,68,29,scattered clouds
166,Naryan-Mar,RU,67.6713,53.087,33.98,97,100,light snow
167,Vanderhoof,CA,54.0166,-124.0198,32.31,60,94,overcast clouds
168,Wagar,SD,16.1525,36.2032,73.92,45,0,clear sky
169,Starogard Gdanski,PL,53.964,18.5264,37.99,83,100,overcast clouds
170,Lorengau,PG,-2.0226,147.2712,82.47,81,100,overcast clouds
171,Qandala,SO,11.472,49.8728,79.32,53,3,clear sky
172,Mehamn,NO,71.0357,27.8492,30.83,94,100,light snow
173,Nieuwpoort,BE,51.1244,2.7735,41.0,75,90,overcast clouds
174,Mount Isa,AU,-20.7333,139.5,84.2,21,14,few clouds
175,Port Elizabeth,ZA,-33.918,25.5701,66.2,94,75,broken clouds
176,Hangu,CN,39.2489,117.7892,64.4,45,0,clear sky
177,Wanning,CN,18.8003,110.3967,78.03,83,100,overcast clouds
178,Arraial Do Cabo,BR,-22.9661,-42.0278,74.93,71,0,clear sky
179,Tefe,BR,-3.3542,-64.7114,72.57,96,90,light rain
180,Palaikastron,GR,35.2,26.25,53.35,57,2,clear sky
181,Thompson,CA,55.7435,-97.8558,33.8,64,40,scattered clouds
182,Banda Aceh,ID,5.5577,95.3222,84.51,69,25,scattered clouds
183,Labuhan,ID,-6.8844,112.2051,81.88,78,64,broken clouds
184,Ghanzi,BW,-21.5667,21.7833,63.46,51,0,clear sky
185,Katsuura,JP,35.1333,140.3,61.0,54,20,few clouds
186,Paamiut,GL,61.994,-49.6678,28.81,86,25,scattered clouds
187,Garden City,US,42.3256,-83.331,61.0,94,90,heavy intensity rain
188,Yebaishou,CN,41.3975,119.6408,61.79,30,100,overcast clouds
189,Vardo,NO,70.3705,31.1107,28.24,69,2,clear sky
190,Kijini,TZ,-5.85,39.3167,77.43,85,81,moderate rain
191,Teramo,IT,42.65,13.6833,46.99,72,91,overcast clouds
192,Guerrero Negro,MX,27.9769,-114.0611,60.44,82,100,overcast clouds
193,Tocopilla,CL,-22.092,-70.1979,66.79,80,32,scattered clouds
194,Ontario,US,34.0633,-117.6509,64.99,48,75,broken clouds
195,Sangar,RU,63.9242,127.4739,17.85,67,100,overcast clouds
196,Mezen,RU,65.8522,44.24,33.12,97,100,snow
197,Saint George,US,37.1041,-113.5841,75.0,10,1,clear sky
198,Loding,NO,67.3,14.75,35.6,93,75,light rain
199,Honiara,SB,-9.4333,159.95,84.27,71,91,overcast clouds
200,Berea,US,41.3662,-81.8543,62.01,94,90,mist
201,Nouakchott,MR,18.0858,-15.9785,71.6,60,98,overcast clouds
202,Taoudenni,ML,22.6783,-3.9836,80.19,16,0,clear sky
203,Vrangel,RU,42.7297,133.0839,45.25,78,56,broken clouds
204,Torbay,CA,47.6666,-52.7314,35.01,93,90,moderate rain
205,Sinnamary,GF,5.3833,-52.95,77.11,87,100,moderate rain
206,Bibiani,GH,6.4635,-2.3194,71.83,98,99,overcast clouds
207,Ulan-Ude,RU,51.8261,107.6098,33.8,34,40,scattered clouds
208,San Cristobal,VE,7.7669,-72.225,78.8,83,20,few clouds
209,Dudinka,RU,69.4058,86.1778,19.36,95,85,overcast clouds
210,Zeya,RU,53.75,127.2667,26.11,42,1,clear sky
211,Hualmay,PE,-11.0964,-77.6139,69.08,86,100,overcast clouds
212,Norilsk,RU,69.3535,88.2027,26.85,94,84,broken clouds
213,Auki,SB,-8.7676,160.7034,82.96,76,90,overcast clouds
214,Mahebourg,MU,-20.4081,57.7,77.0,78,75,broken clouds
215,Lagoa,PT,39.05,-27.9833,59.88,95,100,overcast clouds
216,Atasu,KZ,48.6814,71.6433,40.33,58,0,clear sky
217,Dingle,PH,10.9995,122.6711,87.15,59,73,broken clouds
218,Yangjiang,CN,21.85,111.9667,79.0,58,100,overcast clouds
219,Kloulklubed,PW,7.0419,134.2556,82.4,83,75,broken clouds
220,Akyab,MM,20.15,92.9,83.86,64,35,scattered clouds
221,Omsukchan,RU,62.5333,155.8,-2.34,77,100,overcast clouds
222,Leeton,AU,-34.5667,146.4,61.0,41,75,broken clouds
223,Saldanha,ZA,-33.0117,17.9442,57.2,88,100,overcast clouds
224,Provideniya,RU,64.3833,-173.3,3.67,87,100,light snow
225,Xichang,CN,27.8964,102.2634,71.2,40,1,clear sky
226,Brookhaven,US,31.5791,-90.4407,68.0,88,75,broken clouds
227,Cukai,MY,4.25,103.4167,87.8,74,40,scattered clouds
228,Kavieng,PG,-2.5744,150.7967,81.43,81,64,moderate rain
229,Klaksvik,FO,62.2266,-6.589,28.4,74,20,few clouds
230,Boralday,KZ,43.3578,76.8594,57.2,51,20,few clouds
231,Zhezkazgan,KZ,47.8043,67.7144,40.86,58,7,clear sky
232,Zhanakorgan,KZ,43.9098,67.2495,46.9,65,75,broken clouds
233,Laramie,US,41.3114,-105.5911,45.0,22,1,clear sky
234,Itaituba,BR,-4.2761,-55.9836,78.8,94,20,few clouds
235,Grenaa,DK,56.4158,10.8783,37.99,87,90,light rain
236,Dembi Dolo,ET,8.5333,34.8,61.63,35,70,broken clouds
237,Coaldale,CA,49.7167,-112.6185,35.01,86,90,light snow
238,Raychikhinsk,RU,49.7838,129.4121,46.45,28,5,clear sky
239,Nsanje,MW,-16.92,35.262,67.3,98,72,broken clouds
240,Beringovskiy,RU,63.05,179.3167,8.11,93,100,light snow
241,Senno,RU,59.5336,33.9167,28.99,92,6,clear sky
242,Port Hardy,CA,50.6996,-127.4199,42.8,61,40,scattered clouds
243,Izumo,JP,35.3667,132.7667,62.6,31,0,clear sky
244,Jalu,LY,29.0331,21.5482,52.41,42,52,broken clouds
245,Hobyo,SO,5.3505,48.5268,81.54,60,16,few clouds
246,Clute,US,29.0247,-95.3988,71.01,94,1,mist
247,Iquique,CL,-20.2208,-70.1431,66.2,72,75,broken clouds
248,Talara,PE,-4.5772,-81.2719,70.07,84,72,broken clouds
249,Centralia,US,46.7162,-122.9543,44.6,61,1,clear sky
250,Jablanica,BA,43.6603,17.7617,39.2,93,0,clear sky
251,High River,CA,50.5834,-113.8687,32.0,66,74,broken clouds
252,General Roca,AR,-39.0333,-67.5833,48.2,87,0,clear sky
253,Mount Darwin,ZW,-16.7725,31.5838,56.39,89,39,scattered clouds
254,Jardim,BR,-21.4803,-56.1381,74.59,64,0,clear sky
255,Mabaruma,GY,8.2,-59.7833,74.41,93,100,overcast clouds
256,Bambous Virieux,MU,-20.3428,57.7575,80.01,78,75,broken clouds
257,Salalah,OM,17.0151,54.0924,78.8,73,20,few clouds
258,Oranjemund,NA,-28.55,16.4333,60.93,87,12,few clouds
259,College,US,64.8569,-147.8028,18.0,27,40,scattered clouds
260,Gat,IL,31.61,34.7642,55.0,52,65,broken clouds
261,Tiksi,RU,71.6872,128.8694,0.0,81,21,few clouds
262,Bapatla,IN,15.9,80.4667,86.22,61,5,clear sky
263,Tautira,PF,-17.7333,-149.15,86.0,65,40,light rain
264,Pastavy,BY,55.1168,26.8326,42.89,96,100,overcast clouds
265,Kyren,RU,51.6828,102.1408,30.31,50,94,overcast clouds
266,Byron Bay,AU,-28.65,153.6167,79.0,38,24,few clouds
267,Ahipara,NZ,-35.1667,173.1667,72.73,64,0,clear sky
268,Teya,RU,60.3778,92.6267,31.89,92,100,overcast clouds
269,Biltine,TD,14.5333,20.9167,78.44,10,0,clear sky
270,Huarmey,PE,-10.0681,-78.1522,69.84,87,100,overcast clouds
271,Urumqi,CN,43.801,87.6005,50.0,34,20,few clouds
272,Pisco,PE,-13.7,-76.2167,68.0,77,0,clear sky
273,Martapura,ID,-3.4167,114.85,86.0,70,20,few clouds
274,Ilulissat,GL,69.2167,-51.1,19.4,86,90,overcast clouds
275,Gao,ML,16.6362,1.637,82.51,9,0,clear sky
276,Norman Wells,CA,65.282,-126.8329,-5.8,77,90,light snow
277,Iqaluit,CA,63.7506,-68.5145,21.2,93,90,light snow
278,Pirapora,BR,-17.345,-44.9419,62.94,72,0,clear sky
279,Merauke,ID,-8.4667,140.3333,83.5,70,25,light rain
280,Geraldton,AU,-28.7667,114.6,89.6,33,85,overcast clouds
281,Nuuk,GL,64.1835,-51.7216,26.6,100,90,light snow
282,Keti Bandar,PK,24.1447,67.4497,81.73,61,0,clear sky
283,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,100,75,mist
284,Linguere,SN,15.3953,-15.1193,75.9,34,22,few clouds
285,The Pas,CA,53.8251,-101.2541,39.2,65,90,overcast clouds
286,Chapais,CA,49.7834,-74.8492,50.0,50,90,overcast clouds
287,Nanortalik,GL,60.1432,-45.2371,34.52,87,8,clear sky
288,Gawler,AU,-34.6,138.7333,64.99,50,100,overcast clouds
289,Quilpue,CL,-33.045,-71.4494,59.0,57,0,clear sky
290,Coihaique,CL,-45.5752,-72.0662,44.53,96,100,overcast clouds
291,Floro,NO,61.5996,5.0328,33.8,93,75,broken clouds
292,Boulder City,US,35.9786,-114.8325,79.0,9,1,clear sky
293,Marchena,ES,37.329,-5.4168,59.0,100,40,scattered clouds
294,Bako,ET,5.7833,36.5667,62.83,83,95,overcast clouds
295,Bowen,AU,-20.0167,148.2333,89.6,55,3,clear sky
296,Izhma,RU,65.0083,53.9113,34.77,83,82,broken clouds
297,Padang,ID,-0.9492,100.3543,84.2,79,40,scattered clouds
298,Borba,BR,-4.3878,-59.5939,74.08,97,98,overcast clouds
299,Presque Isle,US,46.6811,-68.0159,42.8,36,75,light rain
300,Berlevag,NO,70.8578,29.0864,25.57,76,44,scattered clouds
301,Vilcun,CL,-38.65,-72.2333,46.4,100,0,clear sky
302,Brightwater,NZ,-41.3833,173.1167,71.01,87,48,scattered clouds
303,Richards Bay,ZA,-28.783,32.0377,67.62,88,5,clear sky
304,Yaring,TH,6.8662,101.3689,87.8,70,20,few clouds
305,Janakpur,NP,26.7183,85.9065,89.06,7,0,clear sky
306,Rio Gallegos,AR,-51.6226,-69.2181,44.6,57,0,clear sky
307,Balabac,PH,7.9868,117.0645,84.88,71,30,scattered clouds
308,Noumea,NC,-22.2763,166.4572,82.4,83,75,broken clouds
309,Auch,FR,43.65,0.5833,52.0,84,48,scattered clouds
310,Qaqortoq,GL,60.7167,-46.0333,35.6,75,75,broken clouds
311,Joao Pinheiro,BR,-17.7425,-46.1725,63.7,62,0,clear sky
