City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
71,206,Bibiani,GH,71.83,overcast clouds,6.4635,-2.3194,Rodick Hotel
72,208,San Cristobal,VE,78.8,few clouds,7.7669,-72.225,Posada Villaven C.A.
73,213,Auki,SB,82.96,overcast clouds,-8.7676,160.7034,Auki Motel
74,214,Mahebourg,MU,77.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
75,217,Dingle,PH,87.15,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
76,218,Yangjiang,CN,79.0,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
77,219,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
78,220,Akyab,MM,83.86,scattered clouds,20.15,92.9,Hotel Memory
79,225,Xichang,CN,71.2,clear sky,27.8964,102.2634,Xichang ibis Hotel
80,227,Cukai,MY,87.8,scattered clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
81,228,Kavieng,PG,81.43,moderate rain,-2.5744,150.7967,Nusa Island Retreat
82,234,Itaituba,BR,78.8,few clouds,-4.2761,-55.9836,Hotel Campos
83,245,Hobyo,SO,81.54,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
84,246,Clute,US,71.01,mist,29.0247,-95.3988,Candlewood Suites Lake Jackson-Clute
85,248,Talara,PE,70.07,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
86,254,Jardim,BR,74.59,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
88,256,Bambous Virieux,MU,80.01,broken clouds,-20.3428,57.7575,Casa Tia Villa
89,257,Salalah,OM,78.8,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
90,262,Bapatla,IN,86.22,clear sky,15.9,80.4667,Kumar Hotel
91,263,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
92,266,Byron Bay,AU,79.0,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
93,267,Ahipara,NZ,72.73,clear sky,-35.1667,173.1667,Ahipara Holiday Park
94,269,Biltine,TD,78.44,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
95,273,Martapura,ID,86.0,few clouds,-3.4167,114.85,Montana Hotel Syariah
98,280,Geraldton,AU,89.6,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
99,282,Keti Bandar,PK,81.73,clear sky,24.1447,67.4497,Haji laloo memon house
100,284,Linguere,SN,75.9,few clouds,15.3953,-15.1193,Hôtel Amadou Seck
101,292,Boulder City,US,79.0,clear sky,35.9786,-114.8325,Boulder Dam Hotel
102,295,Bowen,AU,89.6,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
103,297,Padang,ID,84.2,scattered clouds,-0.9492,100.3543,Mercure Padang
104,298,Borba,BR,74.08,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
105,302,Brightwater,NZ,71.01,scattered clouds,-41.3833,173.1167,Marama Vineyard & Accomodation
106,304,Yaring,TH,87.8,few clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
107,305,Janakpur,NP,89.06,clear sky,26.7183,85.9065,Hotel Sita Palace
108,307,Balabac,PH,84.88,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
109,308,Noumea,NC,82.4,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
110,320,Biak,ID,83.79,broken clouds,-0.9131,122.8766,Penginapan Kim
111,321,Kiunga,PG,77.97,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
112,324,Bafia,CM,72.23,light rain,4.75,11.2333,Ets MAISON BLANCHE
113,325,Inverell,AU,71.01,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
114,326,Cabo San Lucas,MX,80.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
115,328,Sola,VU,86.0,broken clouds,-13.8833,167.55,Leumerus Bungalows
116,330,Cidreira,BR,74.39,overcast clouds,-30.1811,-50.2056,Hotel Castelo
117,331,Nouna,BF,84.9,clear sky,12.7333,-3.8667,Sabunyuma So
118,338,Banjar,ID,86.0,scattered clouds,-8.19,114.9675,The Hamsa Resort
119,341,Alappuzha,IN,81.79,clear sky,9.49,76.3264,Panoramic Sea Resort
120,344,Caravelas,BR,73.56,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
121,348,Ambon,ID,87.8,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
122,351,Coahuayana,MX,70.09,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
123,352,Luwuk,ID,86.52,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
124,353,Guanambi,BR,73.42,broken clouds,-14.2233,-42.7814,Leopoldo Hotel
125,356,Davila,PH,87.8,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
126,359,Lianzhou,CN,72.95,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
127,362,Kulhudhuffushi,MV,82.74,few clouds,6.6221,73.07,Haajy Guest House 1
128,363,Padampur,IN,85.98,clear sky,29.6833,73.6167,Pensia Sadan
129,365,Muli,MV,82.78,few clouds,2.9167,73.5667,Medhufushi Island Resort
130,366,Maragogi,BR,77.16,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
132,377,Tezu,IN,86.72,few clouds,27.9167,96.1667,Circuit House
133,378,Santa Cruz Cabralia,BR,73.4,few clouds,-16.2781,-39.0247,Portobali Hotel
134,380,Cap Malheureux,MU,80.01,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
135,384,Sao Jose Da Coroa Grande,BR,77.41,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
137,391,Kudahuvadhoo,MV,82.6,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
138,395,Sawtell,AU,73.4,clear sky,-30.3833,153.1,Island Beach House Sawtell
139,397,Harper,LR,80.01,broken clouds,4.375,-7.7169,Screensaver
140,398,Ugoofaaru,MV,82.96,clear sky,5.6667,73.0,Ungoofaaru Inn
141,400,Alofi,NU,80.6,clear sky,-19.0595,-169.9187,Taloa Heights
142,404,Presidencia Roque Saenz Pena,AR,76.15,overcast clouds,-26.7852,-60.4388,Hotel Gualok
